ID,抽签,解签
1,【养猪灰】你是猪，宇宙无敌猪，最大的那种猪！,我不会解签略略略
2,【初恋灰】甜甜的，就像初恋一样,今日可能走桃花运
3,【油腻灰】笔芯，啵啵,我不会解签略略略
4,【恭喜你抽到了子杰】大吉大利，今晚吃饺子 ,勉惕类，诸事无法顺利，踏实或有可望。
5,【贤惠灰】我会煮开水！,我不会解签略略略
6,【土豪灰（伪）】送你一台iPhone X，请找@SNH48-冯晓菲 领取,我不会解签略略略
7,呵，灰推【？】,我会解签了可是我不告诉你
8,【一个出晚安话题的机会】可小窗联系@筱筱的sleep 出晚安话题,目前无人能识，日後必受众人赞颂，怀才不遇者得此签，日後必发达。
9,【给你比个垃圾桶】 恭喜获得道具 垃圾桶*1,命中得遇贵人相助，未婚男子可得佳侣，商人则应有主见，始能获利。
10,【吵架灰】朋友，我们今天吵架了，哼https://www.bilibili.com/video/av14932276/,才气出众，无奈受制，去向宜北，可获佳遇。
11,【学识渊博灰】我会因式分解，还会摄像基础,我不会解签略略略
12,【攻气十足灰】我是攻气十足大姐姐,诸事暂且打住，免有失误，後悔莫及。
13,【Fym】我们一起tei门画,吉，留意三、五有关月日，或有殊遇、喜事。
14,【火锅灰】火锅很好吃嘛,疯狂暗示：请大家吃火锅
15,【大佬灰】（《对峙》撒钱状）,一切期待，均有可得，但须再等待一段时间。
16,【冯Gay对你笑】啊哈,得此签者，不合者必复合。
17,【可定制一签】可联系@billjyc 定制一签,我不会解签略略略
18,【机器人给你比个心】笔芯笔芯,不利，结局恐难有望。
19,【一张FXF48握手券】限握 FXF48成员,握到就是赚到！可选择 正义的坑坑哒 萌姑 等成员
20,【嫌弃灰】鹅心 油腻 吓人 变态,没什么好解的，就是嫌弃
21,【单推王】盘自己切 票自己投,我不会解签略略略
22,【MC合集大礼包】https://www.bilibili.com/video/av11659478/,好好学习，认真观看
23,恭喜你获得【一无所有 有梦而已】,喜讯已到，故人安然无恙，健康痊愈在即，婚姻可期。
24,皇上，这是喜脉啊！,谨言慎行，始得平安。
25,恭喜你获得【@冯晓菲 的微博关注】，请联系@寒江水里游 领奖,我不会解签略略略
26,恭喜你获得【欧皇认证】，奖品为海景房一套（房自己盖） ,或可任新职，经营事业以农林渔牧为宜，患病者宜换医生并到山水处静养。
27,恭喜你获得【非洲人认证】，给你比个小黑脸,不可固执己见，心性偏执者，宜修养心性。
28,【怂灰】跪（乖巧）（@夏彤 定制）,可能您今天会和fxf一样怂吧【x
29,恭喜您获得称号【zqsgの灰推】（@凉城旧梦 定制）,真情实感的灰推，希望你以后都能真情实感的饭灰灰，笔芯
30,恭喜您获得【被拉黑资格】,可联系@one flower juan 领取一天禁言
31,【刻薄灰】你可闭嘴吧！就你们最作！（@江南孤剑 定制）,恭喜被灰灰怼过，正式成为灰推一员
32,【顶天灰】反正天塌下来了也有比我高的人顶着嘛（@a pig can dance 定制）,但是不够高【
33,恭喜获得机会【和机器人跳双生花】（@Skyrim 定制）,hey hey hey！啊哈
34,【道理灰】问题解决还有新的，不要想逃避这种事啊！（@景桓桓 定制）,大概今天可以好好讲道理吧
35,【丘比特灰】可随意选择一位灰推组成cp,接受大家的一日祝福(x（@筱筱的sleep 定制）,请打开qq红包输入口令红包：祝福xxx一日cp快乐～金额任意，水军们爱您么么哒
36,【中奖灰】欧气十足！恭喜您中奖了！请接收您的奖励：中奖的错觉一次（@筱筱的sleep 定制） ,彩票自己买一下谢谢~
37,【明天再来一签】（@阿七米德 定制）,明天见！
38,【特工灰】你掩护 我撤退（@Skyrim 定制）,哒哒哒哒哒
39,【拥抱券】限抱@Skyrim （@Skyrim 定制）,行善济人，必得善果，医生得此签，必为名医，教师得此签，必为名师。
